"","title","type","episodes","source","start_year"
"1","Fullmetal Alchemist: Brotherhood","tv",64,"manga",2009
"2","Hunter x Hunter (2011)","tv",148,"manga",2011
"3","Shingeki no Kyojin Season 3 Part 2","tv",10,"manga",2019
"4","Steins;Gate","tv",24,"visual novel",2011
"5","Koe no Katachi","movie",1,"manga",2016
"6","Kimi no Na wa.","movie",1,"original",2016
"7","Code Geass: Hangyaku no Lelouch R2","tv",25,"original",2008
"8","Shingeki no Kyojin: The Final Season","tv",16,"manga",2021
"9","Sen to Chihiro no Kamikakushi","movie",1,"original",2001
"10","Code Geass: Hangyaku no Lelouch","tv",25,"original",2006
