"","title","score","scored_by","members"
"1","Fullmetal Alchemist: Brotherhood",9.13,1871705,2932347
"2","Hunter x Hunter (2011)",9.04,1509622,2418883
"3","Shingeki no Kyojin Season 3 Part 2",9.07,1329500,1881734
"4","Steins;Gate",9.08,1252286,2269121
"5","Koe no Katachi",8.95,1398608,2001335
"6","Kimi no Na wa.",8.86,1675677,2392235
"7","Code Geass: Hangyaku no Lelouch R2",8.91,1079799,1587851
"8","Shingeki no Kyojin: The Final Season",8.83,1080165,1629273
"9","Sen to Chihiro no Kamikakushi",8.78,1149660,1633281
"10","Code Geass: Hangyaku no Lelouch",8.7,1266726,2013999
