"","title","type","score","scored_by","members","episodes","source","start_year"
"1","Fullmetal Alchemist: Brotherhood","tv",9.13,1871705,2932347,64,"manga",2009
"2","Hunter x Hunter (2011)","tv",9.04,1509622,2418883,148,"manga",2011
"3","Shingeki no Kyojin Season 3 Part 2","tv",9.07,1329500,1881734,10,"manga",2019
"4","Steins;Gate","tv",9.08,1252286,2269121,24,"visual novel",2011
"5","Koe no Katachi","movie",8.95,1398608,2001335,1,"manga",2016
"6","Kimi no Na wa.","movie",8.86,1675677,2392235,1,"original",2016
"7","Code Geass: Hangyaku no Lelouch R2","tv",8.91,1079799,1587851,25,"original",2008
"8","Shingeki no Kyojin: The Final Season","tv",8.83,1080165,1629273,16,"manga",2021
"9","Sen to Chihiro no Kamikakushi","movie",8.78,1149660,1633281,1,"original",2001
"10","Code Geass: Hangyaku no Lelouch","tv",8.7,1266726,2013999,25,"original",2006
"11","Death Note","tv",8.62,2451294,3455435,37,"manga",2006
"12","Jujutsu Kaisen (TV)","tv",8.68,1249570,1922291,24,"manga",2020
"13","Shigatsu wa Kimi no Uso","tv",8.66,1207643,1962353,22,"manga",2014
"14","Shingeki no Kyojin Season 3","tv",8.62,1366582,2000440,12,"manga",2018
"15","One Piece","tv",8.66,1095305,1922827,NA,"manga",1999
"16","Cowboy Bebop","tv",8.76,844830,1638455,26,"original",1998
"17","Shingeki no Kyojin","tv",8.53,2484450,3473484,25,"manga",2013
"18","Kimetsu no Yaiba","tv",8.54,1732637,2492758,26,"manga",2019
"19","Mob Psycho 100 II","tv",8.81,794061,1261348,13,"web manga",2019
"20","One Punch Man","tv",8.51,1989312,2837020,12,"web manga",2015
"21","Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou","tv",8.79,703376,1052000,10,"manga",2016
"22","Violet Evergarden","tv",8.67,834283,1531763,13,"light novel",2018
"23","Shingeki no Kyojin Season 2","tv",8.5,1622386,2355879,12,"manga",2017
"24","Clannad: After Story","tv",8.94,613647,1090226,24,"visual novel",2008
"25","Yakusoku no Neverland","tv",8.54,1128013,1716058,12,"manga",2019
"26","Haikyuu!! Second Season","tv",8.64,837304,1258442,25,"manga",2015
"27","Howl no Ugoku Shiro","movie",8.66,794304,1146746,1,"novel",2004
"28","Tengen Toppa Gurren Lagann","tv",8.63,826245,1461920,27,"original",2007
"29","Mononoke Hime","movie",8.68,718460,1109949,1,"original",1997
"30","Kimetsu no Yaiba Movie: Mugen Ressha-hen","movie",8.66,775474,1186991,1,"manga",2020
"31","Kimetsu no Yaiba: Yuukaku-hen","tv",8.86,562826,937841,11,"manga",2022
"32","Vinland Saga","tv",8.73,619634,1131303,24,"manga",2019
"33","Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen","tv",8.65,711087,1114716,12,"manga",2020
"34","Mob Psycho 100","tv",8.48,1083282,1759661,12,"web manga",2016
"35","Made in Abyss","tv",8.67,625109,1160278,13,"web manga",2017
"36","Haikyuu!!","tv",8.45,1080271,1722363,25,"manga",2014
"37","Spy x Family","tv",8.82,498502,922792,12,"manga",2022
"38","Fate/Zero 2nd Season","tv",8.56,648863,1014815,12,"light novel",2012
"39","Ansatsu Kyoushitsu 2nd Season","tv",8.5,783848,1253736,25,"manga",2016
"40","Shingeki no Kyojin: The Final Season Part 2","tv",8.82,465392,905001,12,"manga",2022
"41","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen","tv",8.41,927051,1461457,12,"manga",2019
"42","JoJo no Kimyou na Bouken Part 5: Ougon no Kaze","tv",8.58,569695,857900,39,"manga",2018
"43","JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai","tv",8.5,656285,952930,39,"manga",2016
"44","Neon Genesis Evangelion: The End of Evangelion","movie",8.55,535545,802847,1,"original",1997
"45","Kiseijuu: Sei no Kakuritsu","tv",8.35,1031280,1654705,24,"manga",2014
"46","JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season","tv",8.44,676872,949735,24,"manga",2015
"47","Samurai Champloo","tv",8.5,579698,1114174,26,"original",2004
"48","Kimi no Suizou wo Tabetai","movie",8.57,472985,787056,1,"novel",2018
"49","Neon Genesis Evangelion","tv",8.34,941487,1577958,26,"original",1995
"50","Boku dake ga Inai Machi","tv",8.31,1214990,1852327,12,"manga",2016
"51","Gintama","tv",8.95,360760,954554,201,"manga",2006
"52","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","tv",8.33,909507,1475164,11,"original",2011
"53","Ookami Kodomo no Ame to Yuki","movie",8.59,422750,742812,1,"original",2012
"54","Mushoku Tensei: Isekai Ittara Honki Dasu Part 2","tv",8.73,371600,621116,12,"light novel",2021
"55","Psycho-Pass","tv",8.35,720254,1479179,22,"original",2012
"56","Mahou Shoujo Madoka★Magica","tv",8.36,686406,1165286,12,"original",2011
"57","Saiki Kusuo no Ψ-nan","tv",8.43,524823,937128,120,"manga",2016
"58","Great Teacher Onizuka","tv",8.69,364906,734523,43,"manga",1999
"59","Bakemonogatari","tv",8.34,681135,1289959,15,"light novel",2009
"60","Re:Zero kara Hajimeru Isekai Seikatsu","tv",8.25,1264633,1949028,25,"light novel",2016
"61","Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai","movie",8.62,380542,597227,1,"light novel",2019
"62","Naruto: Shippuuden","tv",8.24,1445838,2151550,500,"manga",2007
"63","Dr. Stone","tv",8.29,891968,1469027,24,"manga",2019
"64","Mushoku Tensei: Isekai Ittara Honki Dasu","tv",8.37,593681,970325,11,"light novel",2021
"65","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","tv",8.27,952634,1488839,13,"light novel",2018
"66","Kono Subarashii Sekai ni Shukufuku wo! 2","tv",8.28,892930,1331506,10,"light novel",2017
"67","Monogatari Series: Second Season","tv",8.77,330778,616225,26,"light novel",2013
"68","Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season","tv",8.37,542395,948527,13,"light novel",2020
"69","Haikyuu!! To the Top Part 2","tv",8.54,392171,669148,12,"manga",2020
"70","Monster","tv",8.84,312652,873348,74,"manga",2004
"71","Fate/Zero","tv",8.29,788121,1367912,13,"light novel",2011
"72","Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2","tv",8.48,412212,717910,12,"light novel",2021
"73","Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu","movie",8.47,411562,651583,1,"light novel",2019
